id,Action
1,0.22969112777846817
2,0.999999999991765
3,0.9999999929062331
4,0.9999999410144292
5,0.9999999999997269
6,0.9999999999986939
7,0.9975609355113845
8,0.9999999999999976
9,0.9996775675590255
10,0.9999997997294087
11,0.99999991755968
12,0.9995664985083966
13,0.9999999995140323
14,0.05182085638433373
15,0.999643031927606
16,0.9999999312481355
17,0.038435840356069464
18,0.9574972968935174
19,0.9999999999997451
20,0.999999999998241
21,0.9999999890075492
22,0.9999768900037732
23,0.9999999999771172
24,0.9999992618265092
25,0.9999999996897821
26,0.994033396645199
27,0.9999999843442462
28,0.9999822465003498
29,0.9999999830505936
30,0.9993182818486814
31,0.9999999975676037
32,0.9999988021090237
33,0.9999982502868696
34,0.9999999995718747
35,0.9999999933024781
36,0.9999999990923543
37,0.9999998752496868
38,0.9999999768670641
39,0.9999988739899557
40,0.9999736069667111
41,0.20745192710308727
42,0.9999999999662141
43,0.9999998250368722
44,0.9999999999856992
45,0.999999999996132
46,0.9974974940476579
47,0.9999999999999989
48,0.999999635155732
49,0.999999999999905
50,0.9999999974608775
51,0.997758089655632
52,0.9999999991097901
53,0.9999998988614229
54,0.9999999999999893
55,0.999999999360834
56,0.9999999881827785
57,0.999999897878955
58,0.9999999999991804
59,0.9999999774118861
60,0.9999999999987308
61,0.9999999997156335
62,0.9999999481785682
63,0.9999999605492464
64,0.9999999988262129
65,0.9999999951885601
66,0.9999999885882743
67,0.9999802116310003
68,0.9999999999999969
69,0.9999996761552571
70,0.02052232513161023
71,0.9999999345202909
72,0.9999999999069433
73,0.9999999999991758
74,0.9999999977838316
75,0.9999999559080406
76,0.9999999999470008
77,0.9999999986257726
78,0.9999394527814695
79,0.8516879785980722
80,0.9999998881855535
81,0.9999999999999931
82,0.9999999901831184
83,0.9999997967381828
84,0.999999999888066
85,0.9999998700495769
86,0.9999173384420812
87,0.9999999874281548
88,0.9999999929146102
89,0.9999999999982547
90,0.9272045632316736
91,0.999999519263401
92,0.924654991196012
93,0.99999999999972
94,0.999999677647539
95,0.9999999449811797
96,0.9999999998492992
97,0.2261106055386694
98,0.9999995333389307
99,0.9999999999100946
100,0.9999999999931615
101,0.9996393914066399
102,0.9999888569396221
103,0.9999999919128869
104,0.9999835613837236
105,0.9149647340814628
106,0.9999999994763678
107,0.9999999999992455
108,0.9999999691970026
109,0.9999999983348777
110,0.999999899435467
111,0.8659355027268295
112,0.9999999996381725
113,0.9987863677095618
114,0.9999999998066016
115,0.9999999939956925
116,0.9999998123438981
117,0.9998102539100171
118,0.9999999993086603
119,0.9999999999999243
120,0.9999999872382866
121,0.9999544860086732
122,0.9999999999982156
123,0.9999589842882399
124,0.9999999999988631
125,0.9999999903794542
126,0.9693564204957301
127,0.9960290338048069
128,0.5144528013521209
129,0.9999999739809355
130,0.9999996183156148
131,0.9999999999796867
132,0.9999999999993672
133,0.999999982127595
134,0.5312666616279746
135,0.9999999999992937
136,0.999999894908227
137,0.9999999994736251
138,0.9999977775724642
139,0.999983180508813
140,0.9999999999999947
141,0.9998407262371477
142,0.999999959034595
143,0.999999999103786
144,0.9999999999826839
145,0.9999999999999962
146,0.9761902538735864
147,0.02803279470132924
148,0.8725925674646994
149,0.9999999999999989
150,0.9999999999271105
151,0.9999999999994951
152,0.8834374864241955
153,0.9999999957402126
154,0.999999119667206
155,0.9999998809237189
156,0.9998383857840852
157,0.9999999883666223
158,0.9999999993196436
159,0.9999397646163503
160,0.9999997547086934
161,0.9975835972234188
162,0.9999999999734683
